Name,Price,Model,Year,Condition,Transmission,Fuel Type,Location,Mileage
 2005 Toyota Camry ," ₦1,500,000 ",Camry,2005,Foreign Used,Automatic,Fuel, Abeokuta ,11652
 2010 Toyota Camry ," ₦1,150,000 ",Camry,2010,Nigerian Used,Automatic,Fuel, Iperu ,311043
 2010 Toyota Corolla ," ₦2,850,000 ",Corolla,2010,Foreign Used,Automatic,Fuel, Abeokuta ,11963
 2004 Toyota Picnic ," ₦1,500,000 ",Picnic,2004,Foreign Used,Automatic,Fuel, Abeokuta ,11258
 2009 Toyota VENZA ," ₦3,000,000 ",Venza,2009,Foreign Used,Automatic,Fuel, Abeokuta ,11862
 2007 Toyota Corolla for sale ," ₦1,100,000 ",Corolla,2007,Tokunbo,Automatic,Fuel, Port Harcourt ,269901
 2016 Toyota Highlander Limited Edition ," ₦10,000,000 ",Highlander,2016,Foreign Used,Automatic,Fuel, Abuja ,269901
 2008 Lexus IS250 ," ₦3,950,000 ",Highlander,2008,Foreign Used,Automatic,Fuel, Ikeja ,43211
 2005 Lexus RX330 ," ₦3,400,000 ",Highlander,2005,Nigerian Used,Automatic,Fuel, Ikeja ,58661
 2008 Lexus GS350 ," ₦4,250,000 ",Highlander,2008,Foreign Used,Automatic,Fuel, Ikeja ,49395
 2009 Toyota Camry SE ," ₦2,450,000 ",Camry,2009,Nigerian Used,Automatic,Fuel, Ikeja ,58661
 2004 Toyota Camry ," ₦1,600,000 ",Camry,2004,Nigerian Used,Automatic,Fuel, Ikeja ,52411
 2006 Mercedes Benz E500 ," ₦2,450,000 ",Camry,2006,Tokunbo,Automatic,Fuel, Ikeja ,57521
 2008 Toyota Camry XLE ," ₦3,000,000 ",Camry,2008,Foreign Used,Automatic,Fuel, Ikeja ,57521
 2008 Toyota Highlander ," ₦3,200,000 ",Highlander,2008,Nigerian Used,Automatic,Fuel, Yaba ,124602
 2007 Honda Pilot ," ₦1,800,000 ",Highlander,2007,Nigerian Used,Automatic,Fuel, Ikorodu ,58661
 2018 Nissan Platinum Edition ," ₦21,000,000 ",Highlander,2018,Foreign Used,Automatic,Fuel, Abuja ,"33,000km"
 2006 Lexus GS300 ," ₦2,650,000 ",Highlander,2006,Nigerian Used,Automatic,Fuel, Yaba ,138125
 2011 Ford Edge Sport Edition Limited ," ₦4,650,000 ",Highlander,2011,Foreign Used,Automatic,Fuel, Ikeja ,"87,640"
 2008 Toyota Matrix ," ₦1,700,000 ",Matrix,2008,Nigerian Used,Automatic,Fuel, Ikeja ,"87,640"
 2005 Toyota Camry ," ₦1,500,000 ",Camry,2005,Foreign Used,Automatic,Fuel, Abeokuta ,11652
 2010 Toyota Camry ," ₦1,150,000 ",Camry,2010,Nigerian Used,Automatic,Fuel, Iperu ,311043
 2010 Toyota Corolla ," ₦2,850,000 ",Corolla,2010,Foreign Used,Automatic,Fuel, Abeokuta ,11963
 2004 Toyota Picnic ," ₦1,500,000 ",Picnic,2004,Foreign Used,Automatic,Fuel, Abeokuta ,11258
 2009 Toyota VENZA ," ₦3,000,000 ",Venza,2009,Foreign Used,Automatic,Fuel, Abeokuta ,11862
 2007 Toyota Corolla for sale ," ₦1,100,000 ",Corolla,2007,Tokunbo,Automatic,Fuel, Port Harcourt ,269901
 2016 Toyota Highlander Limited Edition ," ₦10,000,000 ",Highlander,2016,Foreign Used,Automatic,Fuel, Abuja ,269901
 2008 Lexus IS250 ," ₦3,950,000 ",Highlander,2008,Foreign Used,Automatic,Fuel, Ikeja ,43211
