Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
Toyota Avalon 2018,"2,000,000",Toyota,Avalon,2002,,Automatic,,Petrol,,A'Giwa,14000
2006 Toyota Coaster Bus,"3,800,000",Toyota,Hiace,2006,,Manual,,Petrol,,Abuja,240000
Toyota,"2,800,000",Toyota,Camry,2008,,Automatic,,Petrol,,Ikeja,25000
Toyota,"2,200,000",Toyota,Corolla,2004,,Automatic,,Petrol,,Ojota,12000
Toyota,"1,100,000",Toyota,Matrix,2002,,Automatic,,Petrol,,Lagos,1000
2003 MERCEDES-BENZ E 300 4MATIC,"1,550,000",Mercedes,E -class,2003,,Automatic,,Petrol,,Lagos,16507
2004 MERCEDES-BENZ GLA 250,"2,250,000",Mercedes,GLK -class,2004,,Automatic,,Petrol,,Lagos,14708
2014 TOYOTA CAMRY LE,"1,380,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,86
2014 TOYOTA CAMRY SE,"1,450,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,100
2014 TOYOTA COROLLA LE,"1,650,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Lagos,33
2014 TOYOTA COROLLA LE,"1,500,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Lagos,80
 TOYOTA CAMRY XLE,"1,450,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,67
2002  DODGE DART SX,"1,350,000",Dodge,Dakota,2002,,Automatic,,Petrol,,Lagos,17408
2010 Foreign used Mercedes Benz,"2,500,000",Mercedes,C -class,2002,,Automatic,,Petrol,,Abeokuta,11482
2004 HONDA CR-V EXL,"2,150,000",Honda,CR-V,2004,,Automatic,,Petrol,,Lagos,17870
2004 HONDA INSIGHT EX,"1,850,000",Honda,Insight,2004,,Automatic,,Petrol,,Lagos,14708
2004 HONDA ACCORD EX ,"1,750,000",Honda,Accord,2004,,Automatic,,Petrol,,Lagos,11708
2004 CHEVROLET SPARK 1LT,"1,550,000",Chevrolet,Spark,2004,,Automatic,,Petrol,,Lagos,14708
2003 HUMMER H3,"1,600,000",Hummer,H3,2003,,Automatic,,Petrol,,Lagos,14705
Lexus,"1,000,000",Lexus,RX,2002,,Automatic,,Petrol,,Lagos,1000
Toyota,"1,000,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,1000
2003 NISSAN MURANO S,"1,500,000",Nissan,Murano,2003,,Automatic,,Petrol,,Lagos,17405
2003 NISSAN ROGUE S,"1,650,000",Nissan,Rogue,2003,,Automatic,,Petrol,,Lagos,17452
2004 TOYOTA RAV4 XLE,"2,000,000",Toyota,RAV4,2004,,Automatic,,Petrol,,Lagos,16408
2004 TOYOTA SCION XD,"1,250,000",Toyota,Spacio,2004,,Automatic,,Petrol,,Lagos,14508
2002 TOYOTA CAMRY L ,"1,350,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,14708
2003 TOYOTA CAMRY LE,"1,500,000",Toyota,Camry,2003,,Automatic,,Petrol,,Lagos,16508
2002 TOYOTA CAMRY BASE ,"1,400,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,17408
2004 TOYOTA RAV4 XLE,"2,000,000",Toyota,RAV4,2004,,Automatic,,Petrol,,Lagos,19784
2003 TOYOTA COROLLA BASE,"1,450,000",Toyota,Corolla,2003,,Automatic,,Petrol,,Lagos,16740
20004 TOYOTA RAV4 LE,"2,000,000",Toyota,RAV4,2004,,Automatic,,Petrol,,Lagos,16708
07 Lexus IS250 for sale,"1,200,000",Lexus,IS,2002,,Automatic,,Petrol,,Lagos,86
2007 Lexus IS250,"1,650,000",Lexus,IS,2002,,Automatic,,Petrol,,Lagos,45
007 Lexus IS250,"1,350,000",Lexus,IS,2002,,Automatic,,Petrol,,Lagos,100
07 Lexus IS250,"1,450,000",Lexus,ES,2002,,Automatic,,Petrol,,Lagos,80
